N,wall_time,elapsed_time

50000000 , 0.17464316,00.17 

100000000 , 0.31058843,00.31
 

200000000 , 0.63492366, 00.63

300000000 , 0.88940348 ,00.89

400000000 , 1.25653275 ,01.26

500000000 , 1.39606428 ,01.39

600000000 , 1.74932949 ,01.75

700000000 , 2.03696827 ,02.03

800000000 , 2.34653549 ,02.34

900000000 , 2.69088203 ,02.69

1000000000 , 3.08803957 ,03.09

