N,p,time
1000,1,.0950
2000,2,.1900
4000,4,.6050
6000,6,1.2200
8000,8,1.9350
10000,10,2.5250
12000,12,3.6250
14000,14,4.2800
16000,16,5.1850
18000,18,5.8450
20000,20,7.0550
