N;p;time

1000000;1;0,218
2000000;2;0,0200
4000000;4;0,0200
6000000;6;0,0200
8000000;8;0,0200
10000000;10;0,0200
12000000;12;0,0200
14000000;14;0,0200
16000000;16;0,0218
18000000;18;0,0200
20000000;20;0,0672
