N,p,time
50000000,20,.1500
100000000,20,.3150
200000000,20,.5650
300000000,20,.8150
400000000,20,1.0500
500000000,20,1.2900
600000000,20,1.5200
700000000,20,1.7400
800000000,20,1.9950
900000000,20,2.2650
1000000000,20,2.5350
