N,time

50000000 , 0.14040280 

100000000 , 0.23787014 

200000000 , 0.40375302 

300000000 , 0.56092093 

400000000 , 0.55945789 

500000000 , 0.98783543 

600000000 , 1.09745855 

700000000 , 1.37832963 

800000000 , 1.63654416 

900000000 , 1.31794526 

1000000000 , 1.61466835 
