N;time_points;time_sum
700000000;0,79736114 ; 0,00479317;
700000000;0,79846501 ; 0,00323796; 
800000000;0,91177106 ; 0,00987816;
800000000;0,94805789 ; 0,00002694;
800000000;0,91054201 ; 0,03768086;
800000000;0,91186500 ; 0,03541613;
800000000;0,91181207 ; 0,03635216;
800000000;0,91067791 ; 0,03801608;
800000000;0,91129303 ; 0,03675699;
800000000;0,91128087 ; 0,03611994;
800000000;0,91125798 ; 0,03685689;
800000000;0,91052198 ; 0,03728700;
800000000;0,91133690 ; 0,03676295;
800000000;0,91192293 ; 0,03540087;
800000000;0,91109610 ; 0,03625989;
800000000;0,91173482 ; 0,03575301;
800000000;0,91053891 ; 0,03747988;
800000000;0,91133809 ; 0,03610992;
800000000;0,91119385 ; 0,03628182;
800000000;0,91135287 ; 0,03638315;
800000000;0,92129207 ; 0,02713108; 
800000000;0,91045094 ; 0,03732109;
900000000;1,02626085 ; 0,00113797;
900000000;1,02538800 ; 0,00179791;
900000000;1,02568793 ; 0,00158620;
900000000;1,02437496 ; 0,00307012;
900000000;1,02508903 ; 0,00209117;
900000000;1,02523589 ; 0,00208807;
900000000;1,02514100 ; 0,00216103;
900000000;1,02537203 ; 0,00176597;
900000000;1,02519298 ; 0,00201201;
900000000;1,02511811 ; 0,00199604;
900000000;1,02507901 ; 0,00183916;
900000000;1,02536297 ; 0,00152302;
900000000;1,02566385 ; 0,00052905;
900000000;1,02504206 ; 0,00131297;
900000000;1,02527094 ; 0,00094700;
900000000;1,02529502 ; 0,00096512;
900000000;1,02431607 ; 0,00197411;
900000000;1,02735901 ; 0,00025797; 
900000000;1,02441120 ; 0,00226808;
900000000;1,02582312 ; 0,0046611;
1000000000;1,13863111 ; 0,00205183;
1000000000;1,14087796 ; 0,00049186;
1000000000;1,13930297 ; 0,00196385;
1000000000;1,13926888 ; 0,00089192;
1000000000;1,13822293 ; 0,00089478;
1000000000;1,13916206 ; 0,00002694;
1000000000;1,13984108 ; 0,00002599;
1000000000;1,13842893 ; 0,00249791;
1000000000;1,13824010 ; 0,00161409;
1000000000;1,13817883 ; 0,00105405;
1000000000;1,13976002 ; 0,00002408;
1000000000;1,13909578 ; 0,00029993;
1000000000;1,13906217 ; 0,00193691;
1000000000;1,13964605 ; 0,00008607;
1000000000;1,13827515 ; 0,00271893;
1000000000;1,13587308 ; 0,00361800;
1000000000;1,13967204 ; 0,00006914;
1000000000;1,13818407 ; 0,00146699;
1000000000;1,14066195 ; 0,00110412; 
1000000000;1,13907909 ; 0,00274301;
