N;p;time
1000000000;1;20.4100
1000000000;2;10.8900
1000000000;4;5.3050
1000000000;6;3.6550
1000000000;8;2.8200
1000000000;10;2.4400
1000000000;12;2.2000
1000000000;14;1.8900
1000000000;16;1.6700
1000000000;18;1.3900
1000000000;20;1.5600
