N,p,time
50000000,1,1.3300
100000000,2,1.5200
200000000,4,1.5700
300000000,6,1.7050
400000000,8,1.8000
500000000,10,1.8900
600000000,12,2.4250
700000000,14,3.0300
800000000,16,3.0900
900000000,18,3.4550
1000000000,20,3.6050
