N;p;time
1000000000;1;7.4950
1000000000;2;5.7000
1000000000;4;5.0650
1000000000;6;5.0200
1000000000;8;5.0500
1000000000;10;5.0700
1000000000;12;5.0900
1000000000;14;5.1000
1000000000;16;5.1000
1000000000;18;5.1300
1000000000;20;5.1700
