N,p,time
1000,1,.1300
2000,2,.1900
4000,4,.6100
6000,6,1.2200
8000,8,2.0050
10000,10,2.7800
12000,12,3.5800
14000,14,4.4550
16000,16,5.1450
18000,18,5.8600
20000,20,6.6600
