N,p,time
10000,1,11.9800
10000,2,5.1250
10000,4,4.3350
10000,6,8.5250
10000,8,2.9650
10000,10,2.6200
10000,12,2.2200
10000,14,2.3400
10000,16,1.8050
10000,18,1.6450
10000,20,1.6750
