N,p,time
1000,1,.1400
2000,2,.5350
4000,4,1.4550
6000,6,2.7550
8000,8,4.0600
10000,10,6.3050
12000,12,8.7550
14000,14,12.4350
16000,16,16.1850
18000,18,20.2150
20000,20,25.2250
