N,p,time
10000,1,11.0850
10000,2,5.0500
10000,4,4.1250
10000,6,3.6500
10000,8,3.0900
10000,10,2.6300
10000,12,2.4300
10000,14,2.1850
10000,16,1.9850
10000,18,1.8450
10000,20,1.8800
