N;p;time
1000,1,.2050
2000,2,.1900
4000,4,.6000
6000,6,1.2600
8000,8,1.9250
10000,10,2.5250
12000,12,3.0850
14000,14,4.2050
16000,16,5.6250
18000,18,5.3550
20000,20,6.5700
