N,p,time
1000,1,.7200
2000,2,.1900
4000,4,.6150
6000,6,1.2250
8000,8,2.0350
10000,10,3.0900
12000,12,3.7950
14000,14,4.2350
16000,16,5.3750
18000,18,6.3300
20000,20,6.9350
