N,p,time
10000,1,9.4450
10000,2,4.9600
10000,4,4.0900
10000,6,3.5800
10000,8,3.1200
10000,10,2.7500
10000,12,2.5200
10000,14,2.0950
10000,16,1.9650
10000,18,1.8250
10000,20,1.6500
