N,p,time
50000000,20,.1450
100000000,20,.2550
200000000,20,.4200
300000000,20,.5900
400000000,20,.7050
500000000,20,.7750
600000000,20,.7350
700000000,20,1.2000
800000000,20,1.3500
900000000,20,1.3750
1000000000,20,1.6650
