N,p,time

1000000000,1,21.1900
1000000000,2,11.6400
1000000000,4,6.6133
1000000000,6,5.0550
1000000000,8,4.3300
1000000000,10,3.8750
1000000000,12,3.6816
1000000000,14,3.4883
1000000000,16,3.2800
1000000000,18,3.1366
1000000000,20,2.9800
