N;p;time
1000000000;1;.0050
1000000000;2;0
1000000000;4;0
1000000000;6;0
1000000000;8;0
1000000000;10;0
1000000000;12;0
1000000000;14;0
1000000000;16;0
1000000000;18;0
1000000000;20;0
