N,p,time
50000000,20,.1600
100000000,20,.3600
200000000,20,.6200
300000000,20,.9100
400000000,20,1.1750
500000000,20,1.4700
600000000,20,1.7850
700000000,20,2.0750
800000000,20,2.2400
900000000,20,2.6250
1000000000,20,2.9000
