N,p,time
50000000,20,.1650
100000000,20,.2650
200000000,20,.3800
300000000,20,.5800
400000000,20,.8700
500000000,20,1.0550
600000000,20,1.0850
700000000,20,1.3100
800000000,20,1.5050
900000000,20,1.6650
1000000000,20,1.6850
