N,time

50000000 , 0.18428756 

100000000 , 0.31878028 

200000000 , 0.55285247 

300000000 , 0.78867950 

400000000 , 1.01090488 

500000000 , 1.25726957 

600000000 , 1.56233664 

700000000 , 1.75506341 

800000000 , 2.02441898 

900000000 , 2.15502053 

1000000000 , 2.61953336 
