N;p;time
1000000000;1;8.0500
1000000000;2;6.8100
1000000000;4;6.3900
1000000000;6;6.4000
1000000000;8;6.3850
1000000000;10;6.3900
1000000000;12;6.4100
1000000000;14;6.4000
1000000000;16;6.4000
1000000000;18;6.4000
1000000000;20;6.3850
